2026-01-05 12:13:49,426 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 12:17:39,909 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 12:17:49,671 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='Wayekade engekho isikhathi eside esayofunda, kanti umndeni wakhe wawumkhumbule.'
2026-01-05 12:17:49,671 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 12:17:59,900 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 12:24:04,508 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 12:25:02,642 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='Ngosuku lokufika kukaMama Tau, umndeni wachitha isikhathi sasekuseni ulungiselela.'
2026-01-05 12:25:02,642 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 12:25:13,346 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 12:38:52,133 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='Wayefuna ukuthi unina abone ukuthi ikhono lakhe lokudlala ibhola selingcono kangakanani kusukela agc... [truncated 13 chars]'
2026-01-05 12:38:52,133 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 12:39:01,545 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 12:58:05,202 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 13:00:00,431 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 13:03:03,591 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 13:04:32,431 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 13:04:45,628 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='UMama Tau wayesebuyela ekhaya!'
2026-01-05 13:04:45,628 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 13:04:56,341 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 13:28:19,767 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 13:28:48,793 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='Wayefuna ukuthi unina abone ukuthi ikhono lakhe lokudlala ibhola selingcono kangakanani kusukela agc... [truncated 13 chars]'
2026-01-05 13:28:48,794 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 13:29:03,286 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 13:30:38,252 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='“Bamba leli, Bless,” esho ememeza inja.'
2026-01-05 13:30:38,252 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 13:30:48,769 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 14:20:02,569 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='UThapelo wayilandela inja wayeseyocinga udadewabo omdala, uRefilwe.'
2026-01-05 14:20:02,569 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 14:20:15,472 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 14:32:26,184 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='Wayezizwa ekahle ngangokuthi izibuko zakhe zelanga wayezifake ngisho engaphakathi endlini.'
2026-01-05 14:32:26,185 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
2026-01-05 14:32:40,587 | INFO | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-3-flash-preview:generateContent "HTTP/1.1 200 OK"
2026-01-05 14:38:38,359 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 15:46:28,795 | WARNING | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-01-05 15:47:43,402 | INFO | gemini_client | Gemini analyze_sentence_detailed request. model=gemini-3-flash-preview sentence='“Angeke ngiwudlale lo mculo werephu ahlale ekhononda ngawo,” kwasho uRefilwe.'
2026-01-05 15:47:43,403 | INFO | google_genai.models | AFC is enabled with max remote calls: 10.
